1, b-1, 1,
2, b-1, 2,
3, b-1, 3,
4, b-1, 4,
5, b-1, 5,
6, b-1, 6,
7, b-1, 1,
8, b-2, 2,
9, b-1, 3,
10, b-3, 4,
11, b-3, 5,
12, b-2, 6,
13, b-3, 1,
14, b-3, 2,
15, b-2, 3,
16, b-3, 4,
17, b-3, 5,
18, b-2, 6,
19, b-3, 1,
20, b-2, 2,
21, b-2, 3,
22, b-2, 4,
102, b-1, 12,
103, b-1, 13,
104, b-1, 14,
105, b-1, 15,
106, b-1, 16,
107, b-1, 11,
108, b-2, 12,
109, b-1, 13,
110, b-3, 14,
111, b-3, 15,
112, b-2, 16,
113, b-3, 11,
114, b-3, 12,
115, b-2, 13,
116, b-3, 14,
117, b-3, 15,
118, b-2, 16,
119, b-3, 11,
120, b-2, 12,
121, b-2, 13,
122, b-2, 14,
202, b-1, 22,
203, b-1, 23,
204, b-1, 24,
205, b-1, 25,
206, b-1, 26,
207, b-1, 21,
208, b-2, 22,
209, b-1, 23,
210, b-3, 24,
211, b-3, 25,
212, b-2, 26,
213, b-3, 21,
214, b-3, 22,
215, b-2, 23,
216, b-3, 24,
217, b-3, 25,
218, b-2, 26,
219, b-3, 21,
220, b-2, 22,
221, b-2, 23,
222, b-2, 24,
174425, b-1, 121.0 128.0 173.0 237.0 250.0 330.0 338.0 525.0 615.0 763.0 939.0 1036.0 1128.0 1171.0 1172.0 1263.0 1278.0 1328.0 1379.0 1381.0 1386.0 1393.0 1397.0,
545647, b-1, "test1" "test2"
1109208, b-1, 120, "test3" "test4"
99999, b-3
