10, 1, 2, 1

11, 1, 4, 2
20, 2, 1, 1, "test1" "test2"
21, 2, 3, 2,
22, 2, 4, 3,
30, 3, 2, 2
40, 4, 1, 2
41, 4, 2, 3
50, 5, 1, 1
51, 5, 6, 2
60, 6, 5, 2
61, 6, 7, 2
62, 6, 9, 3
70, 7, 4, 3
71, 7, 6, 2
72, 7, 11, 3
80, 8, 3, 1
81, 8, 9, 2
82, 8, 12, 3
90, 9, 6, 3
91, 9, 8, 2
92, 9, 10, 3
100, 10, 9, 3
101, 10, 11, 2
102, 10, 13, 3
110, 11, 7, 3
111, 11, 10, 2
112, 11, 13, 3
120, 12, 8, 3
121, 12, 15, 2
130, 13, 10, 3
131, 13, 11, 3
132, 13, 15, 3
133, 13, 16, 4
134, 13, 17, 5
140, 14, 11, 1
150, 15, 12, 2
151, 15, 13, 3
152, 15, 18, 3
153, 15, 20, 4
154, 15, 21, 5
160, 16, 13, 4
170, 17, 13, 5
171, 17, 22, 2
180, 18, 15, 3
181, 18, 20, 2
190, 19, 14, 1
191, 19, 22, 2
200, 20, 15, 4
201, 20, 18, 2
202, 20, 21, 3
210, 21, 15, 5
211, 21, 20, 3
212, 21, 22, 3
220, 22, 17, 2
221, 22, 19, 2
222, 22, 21, 3

wait, 5000
5456470, 545647, 1109208,
5456471, 545647, 174425,
