10, 1, 2, 1
11,1, 3, 2
12,1, 4, 3
20, 2, 1, 1
21, 2, 3, 2
30, 3, 1, 2
31, 3, 2, 2
32, 3, 4, 3
33, 3, 6, 4
40, 4, 1, 3
41, 4, 3, 3
50, 5, 2, 3
51, 5, 8, 4
60, 6, 3, 4
70, 7, 4, 5
71, 7, 9, 1
80, 8, 5, 4
81, 8, 9, 1
90, 9, 8, 1
91, 9, 7, 1

wait, 5000
110, 11, 12, 1
111,11, 13, 2
112,11, 14, 3
120, 12, 11, 1
121, 12, 13, 2
130, 13, 11, 2
131, 13, 12, 2
132, 13, 14, 3
133, 13, 6, 4
140, 14, 11, 3
141, 14, 13, 3
150, 5, 12, 3
151, 5, 18, 4
160, 6, 13, 4
170, 17, 14, 5
171, 17, 9, 1
180, 18, 5, 4
181, 18, 9, 1
190, 9, 18, 1
191, 9, 17, 1

wait, 5000
210, 21, 22, 1
211,21, 23, 2
212,21, 24, 3
220, 22, 21, 1
221, 22, 23, 2
230, 23, 21, 2
231, 23, 22, 2
232, 23, 24, 3
233, 23, 6, 4
240, 24, 21, 3
241, 24, 23, 3
250, 5, 22, 3
251, 5, 28, 4
260, 6, 23, 4
270, 27, 24, 5
271, 27, 9, 1
280, 28, 5, 4
281, 28, 9, 1
290, 9, 28, 1
291, 9, 27, 1

wait, 5000
5456470, 545647, 1109208,
12, 1, 174425
13, 1, 545647
