10, 1, 2, 1
11,1, 3, 2
12,1, 4, 3
20, 2, 1, 1
21, 2, 3, 2
22, 2, 5, 3
30, 3, 1, 2
31, 3, 2, 2
32, 3, 4, 3
33, 3, 6, 4
34, 3, 7, 5
40, 4, 1, 3
41, 4, 3, 3
50, 5, 2, 3
51, 5, 8, 4
60, 6, 3, 4
70, 7, 3, 5
71, 7, 9, 1
80, 8, 5, 4
81, 8, 9, 1
90, 9, 8, 1
91, 9, 7, 1

wait, 5000
110, 1, 12, 11
111, 1, 13, 12
112, 1, 14, 13
120, 12, 1, 1
121, 12, 13, 2
122, 12, 15, 3
130, 13, 1, 2
131, 13, 12, 2
132, 13, 14, 3
133, 13, 16, 4
134, 13, 17, 5
140, 14, 1, 3
141, 14, 13, 3
150, 15, 12, 3
151, 15, 18, 4
160, 16, 13, 4
170, 17, 13, 5
171, 17, 19, 1
180, 18, 15, 4
181, 18, 19, 1
190, 19, 18, 1
191, 19, 17, 1
